geoid,nta_name,borough,nta_type,total_pop,hispanic,white,black,asian,other,two_or_more_races,hispanic_pct,white_pct,black_pct,asian_pct,other_pct,two_or_more_races_pct,predominant_group
BX1104,Allerton,Bronx,0.0,34623,17432,4734,9518,1688,469,782,50.35,13.67,27.49,4.88,1.35,2.26,hispanic
BX0702,Bedford Park,Bronx,0.0,55521,37854,3461,10310,2325,763,808,68.18,6.23,18.57,4.19,1.37,1.46,hispanic
BX0603,Belmont,Bronx,0.0,35825,21837,4732,7443,738,367,708,60.95,13.21,20.78,2.06,1.02,1.98,hispanic
BX2791,Bronx Park,Bronx,9.0,69,30,6,31,0,1,1,43.48,8.7,44.93,0.0,1.45,1.45,black
BX0903,Castle Hill-Unionport,Bronx,0.0,41420,22307,1405,8481,7200,1078,949,53.86,3.39,20.48,17.38,2.6,2.29,hispanic
BX0492,Claremont Park,Bronx,9.0,10,1,0,7,0,0,2,10.0,0.0,70.0,0.0,0.0,20.0,black
BX0302,Claremont Village-Claremont (East),Bronx,0.0,24553,12630,295,10938,69,179,442,51.44,1.2,44.55,0.28,0.73,1.8,hispanic
BX1004,Co-op City,Bronx,0.0,37369,10221,1930,23389,490,340,999,27.35,5.16,62.59,1.31,0.91,2.67,black
BX0401,Concourse-Concourse Village,Bronx,0.0,69387,41807,1941,22108,1730,658,1143,60.25,2.8,31.86,2.49,0.95,1.65,hispanic
BX0391,Crotona Park,Bronx,9.0,34,18,5,10,0,0,1,52.94,14.71,29.41,0.0,0.0,2.94,hispanic
BX0303,Crotona Park East,Bronx,0.0,30158,18748,488,9873,254,326,469,62.17,1.62,32.74,0.84,1.08,1.56,hispanic
BX1202,Eastchester-Edenwald-Baychester,Bronx,0.0,51736,12986,1105,35061,656,650,1278,25.1,2.14,67.77,1.27,1.26,2.47,black
BX1091,Ferry Point Park-St. Raymond Cemetery,Bronx,9.0,0,0,0,0,0,0,0,,,,,,,
BX0503,Fordham Heights,Bronx,0.0,32099,23239,523,7100,456,378,403,72.4,1.63,22.12,1.42,1.18,1.26,hispanic
BX1071,Hart Island,Bronx,7.0,0,0,0,0,0,0,0,,,,,,,
BX0402,Highbridge,Bronx,0.0,32456,21431,631,9444,247,283,420,66.03,1.94,29.1,0.76,0.87,1.29,hispanic
BX0201,Hunts Point,Bronx,0.0,15131,10715,264,3752,108,109,183,70.81,1.74,24.8,0.71,0.72,1.21,hispanic
BX1161,Hutchinson Metro Center,Bronx,6.0,297,113,56,93,3,25,7,38.05,18.86,31.31,1.01,8.42,2.36,hispanic
BX0801,Kingsbridge Heights-Van Cortlandt Village,Bronx,0.0,35777,25505,3741,4284,1287,396,564,71.29,10.46,11.97,3.6,1.11,1.58,hispanic
BX0802,Kingsbridge-Marble Hill,Bronx,0.0,22807,14757,3561,2872,923,230,464,64.7,15.61,12.59,4.05,1.01,2.03,hispanic
BX0202,Longwood,Bronx,0.0,40289,28773,690,9608,294,399,525,71.42,1.71,23.85,0.73,0.99,1.3,hispanic
BX0102,Melrose,Bronx,0.0,42651,28059,973,12111,426,451,631,65.79,2.28,28.4,1.0,1.06,1.48,hispanic
BX1102,Morris Park,Bronx,0.0,25077,8314,10649,1675,3540,361,538,33.15,42.47,6.68,14.12,1.44,2.15,white
BX0301,Morrisania,Bronx,0.0,37607,20576,709,15107,184,379,652,54.71,1.89,40.17,0.49,1.01,1.73,hispanic
BX0101,Mott Haven-Port Morris,Bronx,0.0,57718,38852,1569,15455,476,475,891,67.31,2.72,26.78,0.82,0.82,1.54,hispanic
BX0403,Mount Eden-Claremont (West),Bronx,0.0,49651,34999,711,12221,619,527,574,70.49,1.43,24.61,1.25,1.06,1.16,hispanic
BX0502,Mount Hope,Bronx,0.0,49099,33082,736,13375,611,654,641,67.38,1.5,27.24,1.24,1.33,1.31,hispanic
BX0291,North & South Brother Islands,Bronx,9.0,0,0,0,0,0,0,0,,,,,,,
BX0703,Norwood,Bronx,0.0,43466,26570,3093,6437,6049,642,675,61.13,7.12,14.81,13.92,1.48,1.55,hispanic
BX0904,Parkchester,Bronx,0.0,33602,11083,907,11788,8550,479,795,32.98,2.7,35.08,25.44,1.43,2.37,black
BX2891,Pelham Bay Park,Bronx,9.0,28,12,5,5,3,0,3,42.86,17.86,17.86,10.71,0.0,10.71,hispanic
BX1003,Pelham Bay-Country Club-City Island,Bronx,0.0,29462,11911,13208,1660,1807,283,593,40.43,44.83,5.63,6.13,0.96,2.01,white
BX1103,Pelham Gardens,Bronx,0.0,29402,10290,5498,8951,3399,490,774,35.0,18.7,30.44,11.56,1.67,2.63,hispanic
BX1101,Pelham Parkway-Van Nest,Bronx,0.0,32425,18114,5465,4728,2605,524,989,55.86,16.85,14.58,8.03,1.62,3.05,hispanic
QN0151,Rikers Island,Bronx,5.0,3772,1259,260,2172,59,12,10,33.38,6.89,57.58,1.56,0.32,0.27,black
BX0803,Riverdale-Spuyten Duyvil,Bronx,0.0,47927,11840,26666,4074,3092,639,1616,24.7,55.64,8.5,6.45,1.33,3.37,white
BX0991,Soundview Park,Bronx,9.0,6,3,1,0,0,0,2,50.0,16.67,0.0,0.0,0.0,33.33,hispanic
BX0901,Soundview-Bruckner-Bronx River,Bronx,0.0,74342,46244,1610,18855,4293,1801,1539,62.2,2.17,25.36,5.77,2.42,2.07,hispanic
BX0902,Soundview-Clason Point,Bronx,0.0,37297,23287,806,11140,769,546,749,62.44,2.16,29.87,2.06,1.46,2.01,hispanic
BX1002,Throgs Neck-Schuylerville,Bronx,0.0,48116,23577,16118,4486,2460,661,814,49.0,33.5,9.32,5.11,1.37,1.69,hispanic
BX0602,Tremont,Bronx,0.0,32150,19902,599,10618,181,354,496,61.9,1.86,33.03,0.56,1.1,1.54,hispanic
BX0701,University Heights (North)-Fordham,Bronx,0.0,46538,34534,1800,7348,1661,543,652,74.21,3.87,15.79,3.57,1.17,1.4,hispanic
BX0501,University Heights (South)-Morris Heights,Bronx,0.0,54682,36202,818,15403,854,550,855,66.2,1.5,28.17,1.56,1.01,1.56,hispanic
BX2691,Van Cortlandt Park,Bronx,9.0,122,45,29,35,4,1,8,36.89,23.77,28.69,3.28,0.82,6.56,hispanic
BX1203,Wakefield-Woodlawn,Bronx,0.0,47657,11263,6672,25258,1462,1421,1581,23.63,14.0,53.0,3.07,2.98,3.32,black
BX0601,West Farms,Bronx,0.0,20147,14106,290,5020,230,199,302,70.02,1.44,24.92,1.14,0.99,1.5,hispanic
BX1001,Westchester Square,Bronx,0.0,17376,8759,1148,1769,4878,424,398,50.41,6.61,10.18,28.07,2.44,2.29,hispanic
BX1201,Williamsbridge-Olinville,Bronx,0.0,61346,19169,1435,37033,1216,873,1620,31.25,2.34,60.37,1.98,1.42,2.64,black
BX1271,Woodlawn Cemetery,Bronx,7.0,2,0,0,1,0,1,0,0.0,0.0,50.0,0.0,50.0,0.0,black
BX0491,Yankee Stadium-Macombs Dam Park,Bronx,9.0,19,15,0,4,0,0,0,78.95,0.0,21.05,0.0,0.0,0.0,hispanic
BK5691,Barren Island-Floyd Bennett Field,Brooklyn,9.0,21,3,12,5,0,0,1,14.29,57.14,23.81,0.0,0.0,4.76,white
BK1102,Bath Beach,Brooklyn,0.0,33070,4695,13227,443,13543,187,975,14.2,40.0,1.34,40.95,0.57,2.95,asian
BK1001,Bay Ridge,Brooklyn,0.0,86779,16310,51417,1840,13662,810,2740,18.79,59.25,2.12,15.74,0.93,3.16,white
BK0302,Bedford-Stuyvesant (East),Brooklyn,0.0,84653,16000,14587,45584,3311,964,4207,18.9,17.23,53.85,3.91,1.14,4.97,black
BK0301,Bedford-Stuyvesant (West),Brooklyn,0.0,89189,16636,31481,30805,4635,1537,4095,18.65,35.3,34.54,5.2,1.72,4.59,white
BK1101,Bensonhurst,Brooklyn,0.0,104934,18064,36545,1078,46034,600,2613,17.21,34.83,1.03,43.87,0.57,2.49,asian
BK1202,Borough Park,Brooklyn,0.0,93905,8077,70239,804,8166,4452,2167,8.6,74.8,0.86,8.7,4.74,2.31,white
BK1303,Brighton Beach,Brooklyn,0.0,33568,4541,21647,429,5462,247,1242,13.53,64.49,1.28,16.27,0.74,3.7,white
BK0201,Brooklyn Heights,Brooklyn,0.0,25092,1961,18446,886,2282,161,1356,7.82,73.51,3.53,9.09,0.64,5.4,white
BK0261,Brooklyn Navy Yard,Brooklyn,6.0,5,4,1,0,0,0,0,80.0,20.0,0.0,0.0,0.0,0.0,hispanic
BK1602,Brownsville,Brooklyn,0.0,60470,13933,830,41736,617,688,2666,23.04,1.37,69.02,1.02,1.14,4.41,black
BK0402,Bushwick (East),Brooklyn,0.0,62049,30562,11438,14109,2944,822,2174,49.25,18.43,22.74,4.74,1.32,3.5,hispanic
BK0401,Bushwick (West),Brooklyn,0.0,58692,31063,16444,4054,4458,762,1911,52.93,28.02,6.91,7.6,1.3,3.26,hispanic
BK1391,Calvert Vaux Park,Brooklyn,9.0,0,0,0,0,0,0,0,,,,,,,
BK1803,Canarsie,Brooklyn,0.0,89932,7433,3441,71576,1841,1032,4609,8.27,3.83,79.59,2.05,1.15,5.12,black
BK1893,Canarsie Park & Pier,Brooklyn,9.0,5,1,0,0,0,0,4,20.0,0.0,0.0,0.0,0.0,80.0,two_or_more_races
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,0.0,59166,12042,32342,7280,3924,549,3029,20.35,54.66,12.3,6.63,0.93,5.12,white
BK0204,Clinton Hill,Brooklyn,0.0,28647,3464,12845,7574,2714,417,1633,12.09,44.84,26.44,9.47,1.46,5.7,white
BK1302,Coney Island-Sea Gate,Brooklyn,0.0,49517,8588,24811,10144,4193,460,1321,17.34,50.11,20.49,8.47,0.93,2.67,white
BK0802,Crown Heights (North),Brooklyn,0.0,85275,11732,18774,45217,3461,1174,4917,13.76,22.02,53.02,4.06,1.38,5.77,black
BK0901,Crown Heights (South),Brooklyn,0.0,50590,4997,16111,24907,931,1338,2306,9.88,31.85,49.23,1.84,2.64,4.56,black
BK0501,Cypress Hills,Brooklyn,0.0,43256,29424,1170,6989,2697,1508,1468,68.02,2.7,16.16,6.23,3.49,3.39,hispanic
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,0.0,40968,5576,19213,5905,7606,394,2274,13.61,46.9,14.41,18.57,0.96,5.55,white
BK1091,Dyker Beach Park,Brooklyn,9.0,9,2,3,0,0,1,3,22.22,33.33,0.0,0.0,11.11,33.33,white
BK1002,Dyker Heights,Brooklyn,0.0,46756,6486,16960,357,22042,202,709,13.87,36.27,0.76,47.14,0.43,1.52,asian
BK1701,East Flatbush-Erasmus,Brooklyn,0.0,47690,5181,3573,34050,1310,658,2918,10.86,7.49,71.4,2.75,1.38,6.12,black
BK1702,East Flatbush-Farragut,Brooklyn,0.0,34317,2465,799,27126,827,575,2525,7.18,2.33,79.05,2.41,1.68,7.36,black
BK1704,East Flatbush-Remsen Village,Brooklyn,0.0,39115,3320,691,31983,251,523,2347,8.49,1.77,81.77,0.64,1.34,6.0,black
BK1703,East Flatbush-Rugby,Brooklyn,0.0,42762,2690,1145,34671,685,564,3007,6.29,2.68,81.08,1.6,1.32,7.03,black
BK0502,East New York (North),Brooklyn,0.0,42818,16225,880,21181,1708,740,2084,37.89,2.06,49.47,3.99,1.73,4.87,black
BK0505,East New York-City Line,Brooklyn,0.0,45559,13370,805,18506,9337,1465,2076,29.35,1.77,40.62,20.49,3.22,4.56,black
BK0503,East New York-New Lots,Brooklyn,0.0,53004,11517,983,36530,636,606,2732,21.73,1.85,68.92,1.2,1.14,5.15,black
BK0104,East Williamsburg,Brooklyn,0.0,52998,18322,20363,6110,5817,526,1860,34.57,38.42,11.53,10.98,0.99,3.51,white
BK1401,Flatbush,Brooklyn,0.0,66503,13064,9752,35895,3407,837,3548,19.64,14.66,53.98,5.12,1.26,5.34,black
BK1402,Flatbush (West)-Ditmas Park-Parkville,Brooklyn,0.0,43016,7256,15859,7702,9288,673,2238,16.87,36.87,17.9,21.59,1.56,5.2,white
BK1801,Flatlands,Brooklyn,0.0,67087,6016,9749,43053,3899,921,3449,8.97,14.53,64.17,5.81,1.37,5.14,black
BK0203,Fort Greene,Brooklyn,0.0,32938,5605,11355,9896,3916,382,1784,17.02,34.47,30.04,11.89,1.16,5.42,white
BK1061,Fort Hamilton,Brooklyn,6.0,775,189,319,105,81,16,65,24.39,41.16,13.55,10.45,2.06,8.39,white
BK1501,Gravesend (East)-Homecrest,Brooklyn,0.0,52797,5842,34806,767,9108,499,1775,11.07,65.92,1.45,17.25,0.95,3.36,white
BK1301,Gravesend (South),Brooklyn,0.0,30366,4626,14187,2566,7949,242,796,15.23,46.72,8.45,26.18,0.8,2.62,white
BK1103,Gravesend (West),Brooklyn,0.0,60523,8579,22331,841,26717,287,1768,14.17,36.9,1.39,44.14,0.47,2.92,asian
BK0771,Green-Wood Cemetery,Brooklyn,7.0,5,2,0,0,2,0,1,40.0,0.0,0.0,40.0,0.0,20.0,hispanic
BK0101,Greenpoint,Brooklyn,0.0,38980,6007,27496,1025,2477,339,1636,15.41,70.54,2.63,6.35,0.87,4.2,white
BK0571,Highland Park-Cypress Hills Cemeteries (South),Brooklyn,7.0,7,5,0,0,0,2,0,71.43,0.0,0.0,0.0,28.57,0.0,hispanic
BK1771,Holy Cross Cemetery,Brooklyn,7.0,32,5,0,19,6,0,2,15.62,0.0,59.38,18.75,0.0,6.25,black
